CDG,France,10
DFW,United States,10
ORD,United States,10
JFK,United States,10
LAX,United States,10
ATL,United States,10
MAD,Spain,10
FRA,Germany,10
LHR,United Kingdom,10
IST,Turkey,10
DXB,United Arab Emirates,10
HND,Japan,8
HKG,China,10
AMS,Netherlands,10
PKX,China,10
PEK,China,10
LAS,United States,10
CGK,Indonesia,10
IAH,United States,10
SIN,Singapore,10
BKK,Thailand,10
SFO,United States,10
PHX,United States,10
CLT,United States,9
CAN,China,10
PVG,China,10
MIA,United States,10
DMK,Thailand,10
MCO,United States,10
FCO,Italy,10
SYD,Australia,10
MUC,Germany,10
EWR,United States,10
NRT,Japan,10
LGW,United Kingdom,10
MSP,United States,10
SEA,United States,10
DTW,United States,10
YYZ,Canada,10
PHL,United States,9
DEL,India,10
ICN,South Korea,10
BCN,Spain,10
ORY,France,10
BOM,India,10
MEL,Australia,10
KUL,Malaysia,10
BOS,United States,9
GRU,Brazil,10
TPE,Taiwan,10
MEX,Mexico,10
IAD,United States,10
MED,Saudi Arabia,10
SHA,China,10
LGA,United States,5
DUB,Ireland,7
SZX,China,10
PMI,Spain,10
MAN,United Kingdom,9
ZRH,Switzerland,10
STN,United Kingdom,9
BWI,United States,9
FLL,United States,7
SLC,United States,10
RUH,Saudi Arabia,10
CTU,China,10
KOP,Thailand,6
MNL,Philippines,10
BNE,Australia,10
VIE,Austria,10
OSL,Norway,10
DME,Russia,10
MXP,Italy,10
HNL,United States,10
ITM,Japan,8
BRU,Belgium,10
CTS,Japan,8
BOG,Colombia,10
JNB,South Africa,10
DUS,Germany,8
FUK,Japan,8
KMG,China,10
YVR,Canada,10
DCA,United States,5
SAN,United States,8
TPA,United States,10
MDW,United States,4
AYT,Turkey,10
CPH,Denmark,10
KIX,Japan,10
ARN,Sweden,10
ATH,Greece,10
SGN,Vietnam,10
DOH,Qatar,10
JED,Saudi Arabia,10
OKA,Japan,8
SVO,Russia,10
CGH,Brazil,4
TXL,Germany,9
XIY,China,8
MPM,Mozambique,10
HGH,China,10
PDX,United States,10
CAI,Egypt,10
GMP,South Korea,10
AKL,New Zealand,10
BSB,Brazil,10
AHB,Saudi Arabia,10
STL,United States,10
LIS,Portugal,10
CKG,China,9
HEL,Finland,10
YUL,Canada,10
AGP,Spain,9
YYC,Canada,10
NGO,Japan,10
GVA,Switzerland,10
MAA,India,10
CJU,South Korea,8
GIG,Brazil,10
CUN,Mexico,10
KNO,Indonesia,10
BLR,India,10
CVG,United States,10
NCE,France,8
PRG,Czech Republic,10
PER,Australia,10
MEM,United States,10
TLV,Israel,10
MCI,United States,10
XMN,China,10
WUH,China,10
CGN,Germany,10
STR,Germany,10
LPA,Spain,9
BHV,Pakistan,8
CLE,United States,7
NKG,China,10
LTN,United Kingdom,5
CCU,India,10
OAK,United States,9
HAM,Germany,10
SNA,United States,4
RDU,United States,9
SMF,United States,7
SUB,Indonesia,9
BNA,United States,10
ALC,Spain,8
LYS,France,10
SJC,United States,10
CCS,Venezuela,10
THR,Iran,10
HOU,United States,6
TAO,China,10
AUS,United States,10
WAW,Poland,10
BHX,United Kingdom,7
EDI,United Kingdom,7
DLC,China,10
AUH,United Arab Emirates,10
LIM,Peru,10
PIT,United States,10
MSY,United States,9
SCL,Chile,10
MKE,United States,8
LIN,Italy,6
TFS,Spain,9
SAT,United States,7
IND,United States,10
SJU,Puerto Rico,9
RSW,United States,10
MRS,France,10
CPT,South Africa,9
ADD,Ethiopia,10
GLA,United Kingdom,7
DAL,United States,7
BUD,Hungary,10
KWI,Kuwait,10
HAK,China,10
TLS,France,10
BGY,Italy,8
BBU,Romania,9
HYD,India,9
BFF,United States,7
EZE,Argentina,10
SYX,China,10
ADL,Australia,9
PUS,South Korea,9
SSH,Egypt,9
VKO,Russia,9
SSA,Brazil,9
LOS,Nigeria,10
PAP,Haiti,9
KAN,Nigeria,10
VCE,Italy,10
SHE,China,9
CMH,United States,9
CNF,Brazil,8
GDL,Mexico,10
CGO,China,10
ALG,Algeria,10
PBI,United States,9
ABQ,United States,10
YEG,Canada,10
HRG,Egypt,10
BRS,United Kingdom,5
CTA,Italy,6
POA,Brazil,6
DPS,Indonesia,8
HAV,Cuba,10
JAX,United States,9
SAW,Turkey,8
CTM,Mexico,5
CHC,New Zealand,10
URC,China,10
CEB,Philippines,10
MTY,Mexico,8
HRB,China,9
CMN,Morocco,10
CDB,United States,9
BAH,Bahrain,10
BUF,United States,7
ADB,Turkey,9
VLC,Spain,9
ESB,Turkey,10
KHI,Pakistan,10
BDL,United States,8
MLH,France,10
KOJ,Japan,8
LED,Russia,10
NCL,United Kingdom,6
NBO,Kenya,10
OGG,United States,5
VOG,Russia,6
ASF,Russia,6
CEK,Russia,9
NAP,Italy,7
OMS,Russia,8
OOL,Australia,6
HKT,Thailand,8
WLG,New Zealand,4
GRO,Spain,6
EMA,United Kingdom,8
REC,Brazil,10
BLQ,Italy,8
ACE,Spain,6
CWB,Brazil,5
DAC,Bangladesh,9
ONT,United States,10
TNA,China,10
KBP,Ukraine,10
HER,Greece,7
LPL,United Kingdom,6
TSN,China,10
AEP,Argentina,5
BUR,United States,5
VCP,Brazil,9
CRL,Belgium,7
BSL,Switzerland,10
BFS,United Kingdom,8
KWE,China,9
BGO,Norway,8
BEY,Lebanon,10
ANC,United States,10
SHJ,United Arab Emirates,10
ISB,Pakistan,10
HAJ,Germany,10
FOC,China,10
LCA,Cyprus,8
RGN,Myanmar [Burma],10
PVD,United States,5
KWL,China,8
FAO,Portugal,7
UIO,Ecuador,9
FOR,Brazil,7
CIA,Italy,5
IBZ,Spain,8
OTP,Romania,10
OMA,United States,8
BFU,China,7
BOD,France,9
FUE,Spain,6
WNZ,China,6
SVQ,Spain,10
PMO,Italy,10
ABV,Nigeria,10
COK,India,10
BKI,Malaysia,10
OPO,Portugal,10
DUR,South Africa,10
YOW,Canada,9
NUE,Germany,7
AMM,Jordan,10
TYN,China,9
BIO,Spain,7
BVA,France,6
SKG,Greece,6
GOT,Sweden,10
PTY,Panama,9
NNG,China,7
RNO,United States,10
TFN,Spain,10
PSA,Italy,8
TUS,United States,10
KHH,Taiwan,9
LOP,Indonesia,7
CGP,Bangladesh,8
IKA,Iran,10
MCT,Oman,10
ALA,Kazakhstan,10
CNS,Australia,9
MIR,Tunisia,8
SJO,Costa Rica,9
MFM,China,10
ORF,United States,7
TUN,Tunisia,9
SVG,Norway,7
AMD,India,10
OKC,United States,8
RIC,United States,7
SDF,United States,10
TRD,Norway,8
NGB,China,9
NTE,France,8
YHZ,Canada,7
YWG,Canada,10
TIJ,Mexico,8
TRN,Italy,10
KHN,China,8
DMM,Saudi Arabia,10
MHT,United States,8
ABZ,United Kingdom,4
UPG,Indonesia,9
CGQ,China,9
BPN,Indonesia,6
BRI,Italy,6
CAG,Italy,8
TSA,Taiwan,7
DAM,Syria,10
ELP,United States,10
ECP,United States,9
GEG,United States,7
RIX,Latvia,9
GYE,Ecuador,8
RHO,Greece,10
SDJ,Japan,8
LHE,Pakistan,10
BTH,Indonesia,10
BHM,United States,9
HAN,Vietnam,10
CBR,Australia,10
TUL,United States,9
KMJ,Japan,8
LGB,United States,9
KMI,Japan,6
BOI,United States,9
KGS,Greece,6
DLM,Turkey,8
MBJ,Jamaica,7
VRN,Italy,9
DSS,Senegal,10
PIU,Peru,6
BHJ,India,7
LIH,United States,4
ALB,United States,7
KCH,Malaysia,6
PVR,Mexico,9
LBA,United Kingdom,5
MLA,Malta,10
ROC,United States,6
CNX,Thailand,9
HFE,China,8
KOA,United States,10
PEN,Malaysia,10
ORK,Ireland,5
WMI,Poland,6
SOF,Bulgaria,10
TIP,Libya,10
RAK,Morocco,9
KRK,Poland,7
NKC,Mauritania,9
GOI,India,10
DAY,United States,10
BHD,United Kingdom,4
NAS,The Bahamas,10
SNN,Ireland,9
UKB,Japan,6
MYJ,Japan,6
LAD,Angola,10
VIX,Brazil,4
NGS,Japan,8
BDJ,Indonesia,6
BEG,Serbia,10
HET,China,10
LHW,China,10
BJV,Turkey,8
MAR,Venezuela,8
BLL,Denmark,9
JOG,Indonesia,5
LIT,United States,7
NYO,Sweden,8
KMQ,Japan,7
GUA,Guatemala,8
FLN,Brazil,6
PNQ,India,7
MAH,Spain,6
CMB,Sri Lanka,10
CHS,United States,7
SDQ,Dominican Republic,10
TRV,India,10
DTM,Germany,4
KCZ,Japan,6
MLE,Maldives,9
SJD,Mexico,8
GUM,Guam,9
PIK,United Kingdom,8
BEL,Brazil,8
HPN,United States,4
LEJ,Germany,10
SYZ,Iran,10
SYR,United States,7
FNC,Portugal,8
ADA,Turkey,7
MRU,Mauritius,10
POS,Trinidad and Tobago,9
KTM,Nepal,9
TLC,Mexico,10
ISP,United States,5
NAT,Brazil,7
KTW,Poland,8
TSF,Italy,6
DJE,Tunisia,9
GYN,Brazil,6
COS,United States,10
DAV,Panama,5
KEF,Iceland,9
PMV,Venezuela,9
HKD,Japan,8
HHN,Germany,10
TAS,Uzbekistan,10
SVX,Russia,9
LJG,China,6
PWM,United States,5
INC,China,9
CCJ,India,8
KBL,Afghanistan,10
KKJ,Japan,6
REP,Cambodia,7
CWL,United Kingdom,6
BTS,Slovakia,9
GRR,United States,9
CGB,Brazil,6
HBA,Australia,6
DVO,Philippines,8
SOU,United Kingdom,4
WUX,China,9
SUF,Italy,6
AWZ,Iran,10
LXR,Egypt,8
SZG,Austria,7
PRN,Kosovo,7
GSO,United States,9
MJV,Spain,6
ZAG,Croatia,10
DSM,United States,7
TIA,Albania,7
CLO,Colombia,8
GAU,India,9
SCQ,Spain,9
SFB,United States,8
AVK,Mongolia,6
YNT,China,7
OIT,Japan,8
ILO,Philippines,6
AQP,Peru,8
BGI,Barbados,10
ATA,Peru,9
TYS,United States,7
VNO,Lithuania,7
PNH,Cambodia,8
DRS,Germany,8
PTP,Guadeloupe,10
BAX,Russia,8
SAV,United States,8
JHG,China,5
BRE,Germany,5
ODS,Ukraine,8
CHQ,Greece,10
DNK,Ukraine,8
RUN,R?union,9
JER,United Kingdom,4
GYD,Azerbaijan,9
AUA,Aruba,8
PKU,Indonesia,5
SAL,El Salvador,9
BFM,United States,8
TOS,Norway,6
REU,Spain,6
PUJ,Dominican Republic,10
LUX,Luxembourg,10
